_ts|_flag|symbol|sector|exchange|country
0|+|AFL|Financial|NYSE|United States
0|+|AMIC|Financial|NasdaqCM|United States
0|+|AIZ|Financial|NYSE|United States
0|+|CNO|Financial|NYSE|United States
0|+|EIG|Financial|NYSE|United States
0|+|FAC|Financial|NYSE|United States
0|+|MIC.TO|Financial|Toronto|Canada
0|+|GLRE|Financial|NasdaqGS|Cayman Islands
0|+|LRE.L|Financial|LSE|United Kingdom
0|+|CMAB.DE|Financial|XETRA|Spain
0|+|NHF.AX|Financial|ASX|Australia
0|+|NBG6.DE|Financial|XETRA|Germany
0|+|PRA|Financial|NYSE|United States
0|+|PROTCT.OL|Financial|Oslo|Norway
0|+|RQIH.L|Financial|LSE|Bermuda
0|+|GTS|Financial|NYSE|United States
0|+|TRUP|Financial|NYSE|United States
0|+|UNM|Financial|NYSE|United States
0|+|ALALO.PA|Services|Paris|France
0|+|APM.DE|Services|XETRA|Germany
0|+|AAU.AX|Services|ASX|Australia
0|+|ALP.PA|Services|Paris|France
0|+|ALANT.PA|Services|Paris|Spain
0|+|BMG.V|Services|TSXV|Canada
0|+|1000.HK|Services|HKSE|China
0|+|CAI.MI|Services|Milan|Italy
0|+|CNET|Services|NasdaqCM|China
0|+|0100.HK|Services|HKSE|Hong Kong
0|+|8243.HK|Services|HKSE|China
0|+|DGT.MI|Services|Milan|Italy
0|+|DNAX|Services|Other OTC|United States
0|+|ALEMK.BR|Services|Brussels|Belgium
0|+|EGG.AX|Services|ASX|Australia
0|+|EQ.V|Services|TSXV|Canada
0|+|ESOFT.CO|Services|Copenhagen|Denmark
0|+|FBCD|Services|Other OTC|United States
0|+|VEND|Services|OTC BB|United States
0|+|HIM.PA|Services|Paris|France
0|+|HCO.PA|Services|Paris|France
0|+|HNT.L|Services|LSE|United Kingdom
0|+|IDI|Services|NYSE MKT|United States
0|+|DEC.PA|Services|Paris|France
0|+|SAA.L|Services|LSE|United Kingdom
0|+|EDI.PA|Services|Paris|France
0|+|MSHF|Services|Other OTC|United States
0|+|MDZ.L|Services|LSE|United Kingdom
0|+|TMMG.L|Services|LSE|United Kingdom
0|+|ALMNG.PA|Services|Paris|France
0|+|MM.TO|Services|Toronto|Canada
0|+|NCL.AX|Services|ASX|Singapore
0|+|NMED|Services|Other OTC|United States
0|+|NMED|Services|Other OTC|United States
0|+|NFC.L|Services|LSE|United Kingdom
0|+|OMC|Services|NYSE|United States
0|+|PSAT.PA|Services|Paris|France
0|+|PTCM.L|Services|LSE|United Kingdom
0|+|PUB.PA|Services|Paris|France
0|+|0205.HK|Services|HKSE|Hong Kong
0|+|RLOC|Services|NasdaqGS|United States
0|+|0550.HK|Services|HKSE|Hong Kong
0|+|0888.HK|Services|HKSE|Hong Kong
0|+|FUEL|Services|NasdaqGS|United States
0|+|RVUE|Services|Other OTC|United States
0|+|RVUE|Services|Other OTC|United States
0|+|0623.HK|Services|HKSE|China
0|+|SZMK|Services|NasdaqGS|United States
0|+|FUEL|Services|NasdaqGS|United States
0|+|SPN.V|Services|TSXV|United States
0|+|SCRI|Services|Other OTC|United States
0|+|SAL.L|Services|LSE|United Kingdom
0|+|SAX.DE|Services|XETRA|Germany
0|+|SGN.AX|Services|ASX|Australia
0|+|TRS.L|Services|LSE|Ireland
0|+|IPG|Services|NYSE|United States
0|+|TBM.MI|Services|Milan|Italy
0|+|VISN|Services|NasdaqGS|China
0|+|WPP.L|Services|LSE|United Kingdom
0|+|YUME|Services|NYSE|United States
0|+|ABGSHIP.BO|Industrial Goods|BSE|India
0|+|ABGSHIP.NS|Industrial Goods|NSE|India
0|+|AJRD|Industrial Goods|NYSE|United States
0|+|A04.SI|Industrial Goods|SES|Singapore
0|+|ASB.AX|Industrial Goods|ASX|Australia
0|+|AVP.TO|Industrial Goods|Toronto|Canada
0|+|0232.HK|Industrial Goods|HKSE|Hong Kong
0|+|AVG.L|Industrial Goods|LSE|United Kingdom
0|+|AVON.L|Industrial Goods|LSE|United Kingdom
0|+|BA.L|Industrial Goods|LSE|United Kingdom
0|+|BSP.DE|Industrial Goods|XETRA|United Kingdom
0|+|BEL.BO|Industrial Goods|BSE|India
0|+|BEL.NS|Industrial Goods|NSE|India
0|+|BA.MX|Industrial Goods|Mexico|United States
0|+|BCO.DE|Industrial Goods|XETRA|United States
0|+|BOE.L|Industrial Goods|LSE|United States
0|+|BOEI34F.SA|Industrial Goods|Sao Paolo|United States
0|+|BBD-A.TO|Industrial Goods|Toronto|Canada
0|+|BBD-B.TO|Industrial Goods|Toronto|Canada
0|+|BBD-PB.TO|Industrial Goods|Toronto|Canada
0|+|BBD-PC.TO|Industrial Goods|Toronto|Canada
0|+|BBDB.DE|Industrial Goods|XETRA|Canada
0|+|CAE.TO|Industrial Goods|Toronto|Canada
0|+|0031.HK|Industrial Goods|HKSE|Hong Kong
0|+|COB.L|Industrial Goods|LSE|United Kingdom
0|+|CHRT.L|Industrial Goods|LSE|United Kingdom
0|+|SX.PA|Industrial Goods|Paris|France
0|+|CSAX|Industrial Goods|OTC BB|United States
0|+|CTT.ST|Industrial Goods|Stockholm|Sweden
0|+|AM.PA|Industrial Goods|Paris|France
0|+|ALDR.PA|Industrial Goods|Paris|France
0|+|EOS.AX|Industrial Goods|ASX|Australia
0|+|EAC|Industrial Goods|NasdaqGM|United States
0|+|ALFIG.PA|Industrial Goods|Paris|France
0|+|FCT.MI|Industrial Goods|Milan|Italy
0|+|FTG.TO|Industrial Goods|Toronto|Canada
0|+|FLY.V|Industrial Goods|TSXV|Canada
0|+|GARWAMAR.BO|Industrial Goods|BSE|India
0|+|GECP.PA|Industrial Goods|Paris|France
0|+|GDBR34F.SA|Industrial Goods|Sao Paolo|United States
0|+|GR9.DE|Industrial Goods|XETRA|Canada
0|+|HYARD.OL|Industrial Goods|Oslo|Norway
0|+|HRX.TO|Industrial Goods|Toronto|Canada
0|+|HXL.PA|Industrial Goods|Paris|United States
0|+|HIGHENE.BO|Industrial Goods|BSE|India
0|+|KOG.OL|Industrial Goods|Oslo|Norway
0|+|LAT.PA|Industrial Goods|Paris|France
0|+|FII.PA|Industrial Goods|Paris|France
0|+|LMT.BA|Industrial Goods|Buenos Aires|United States
0|+|LMTB34F.SA|Industrial Goods|Sao Paolo|United States
0|+|LOM.DE|Industrial Goods|XETRA|United States
0|+|MAL.TO|Industrial Goods|Toronto|Canada
0|+|MJP.AX|Industrial Goods|ASX|New Zealand
0|+|MGGT.L|Industrial Goods|LSE|United Kingdom
0|+|MICT|Industrial Goods|NasdaqCM|United States
0|+|MLMNR.PA|Industrial Goods|Paris|France
0|+|MSI.L|Industrial Goods|LSE|United Kingdom
0|+|MTX.DE|Industrial Goods|XETRA|Germany
0|+|NOC|Industrial Goods|NYSE|United States
0|+|MLNOT.PA|Industrial Goods|Paris|France
0|+|OHB.DE|Industrial Goods|XETRA|Germany
0|+|G4F.SI|Industrial Goods|SES|Singapore
0|+|PSP.V|Industrial Goods|TSXV|Canada
0|+|AKPS.OL|Industrial Goods|Oslo|Norway
0|+|PTB.AX|Industrial Goods|ASX|Australia
0|+|QQ.L|Industrial Goods|LSE|United Kingdom
0|+|QHL.AX|Industrial Goods|ASX|Australia
0|+|RADA|Industrial Goods|NasdaqCM|Israel
0|+|RR.L|Industrial Goods|LSE|United Kingdom
0|+|ROV.CO|Industrial Goods|Copenhagen|Denmark
0|+|SAAB-B.ST|Industrial Goods|Stockholm|Sweden
0|+|SAB.BR|Industrial Goods|Brussels|Belgium
0|+|SAF.PA|Industrial Goods|Paris|France
0|+|SDZ.V|Industrial Goods|TSXV|United States
0|+|S51.SI|Industrial Goods|SES|Singapore
0|+|SNR.L|Industrial Goods|LSE|United Kingdom
0|+|SIKA.BO|Industrial Goods|BSE|India
0|+|S63.SI|Industrial Goods|SES|Singapore
0|+|SNA.V|Industrial Goods|TSXV|Canada
0|+|AERO.L|Industrial Goods|LSE|United Kingdom
0|+|SDSS|Industrial Goods|Other OTC|United States
0|+|TANAA.BO|Industrial Goods|BSE|India
0|+|TNFN.PA|Industrial Goods|Paris|France
0|+|TIK|Industrial Goods|NYSE MKT|United States
0|+|TXT.MX|Industrial Goods|Mexico|United States
0|+|TXT|Industrial Goods|NYSE|United States
0|+|HO.PA|Industrial Goods|Paris|France
0|+|HONV.PA|Industrial Goods|Paris|France
0|+|RC5.SI|Industrial Goods|SES|Singapore
0|+|ULE.L|Industrial Goods|LSE|United Kingdom
0|+|UTC1.DE|Industrial Goods|XETRA|United States
0|+|UTEC34F.SA|Industrial Goods|Sao Paolo|United States
0|+|UTX.MX|Industrial Goods|Mexico|United States
0|+|UTX.BA|Industrial Goods|Buenos Aires|United States
0|+|MS7.SI|Industrial Goods|SES|Norway
0|+|MLVER.PA|Industrial Goods|Paris|France
0|+|WESTE.BO|Industrial Goods|BSE|India
0|+|BS6.SI|Industrial Goods|SES|China
0|+|ZC.PA|Industrial Goods|Paris|France
0|+|AIR|Industrial Goods|NYSE|United States
0|+|ACFN|Industrial Goods|NasdaqCM|United States
0|+|AVAV|Industrial Goods|NasdaqGS|United States
0|+|AIRI|Industrial Goods|NYSE MKT|United States
0|+|ATRO|Industrial Goods|NasdaqGS|United States
0|+|ASTC|Industrial Goods|NasdaqCM|United States
0|+|BEA.V|Industrial Goods|TSXV|Canada
0|+|BEAV|Industrial Goods|NasdaqGS|United States
0|+|BUKS|Industrial Goods|Other OTC|United States
0|+|BWXT|Industrial Goods|NYSE|United States
0|+|CAE|Industrial Goods|NYSE|Canada
0|+|CVU|Industrial Goods|NYSE MKT|United States
0|+|CYIO|Industrial Goods|Other OTC|United States
0|+|DGI|Industrial Goods|NYSE|United States
0|+|DGI.TO|Industrial Goods|Toronto|Canada
0|+|DCO|Industrial Goods|NYSE|United States
0|+|ERJ|Industrial Goods|NYSE|Brazil
0|+|ESL|Industrial Goods|NYSE|United States
0|+|GD|Industrial Goods|NYSE|United States
0|+|GR.V|Industrial Goods|TSXV|Canada
0|+|HEI|Industrial Goods|NYSE|United States
0|+|HEI-A|Industrial Goods|NYSE|United States
0|+|HXL|Industrial Goods|NYSE|United States
0|+|HII|Industrial Goods|NYSE|United States
0|+|ISSC|Industrial Goods|NasdaqGS|United States
0|+|KAMN|Industrial Goods|NYSE|United States
0|+|KLXI|Industrial Goods|NasdaqGS|United States
0|+|LLL|Industrial Goods|NYSE|United States
0|+|LMIA|Industrial Goods|NasdaqGS|United States
0|+|LMT|Industrial Goods|NYSE|United States
0|+|MLER|Industrial Goods|Other OTC|United States
0|+|MOG-A|Industrial Goods|NYSE|United States
0|+|NPK|Industrial Goods|NYSE|United States
0|+|OKRG|Industrial Goods|Other OTC|United States
0|+|OA|Industrial Goods|NYSE|United States
0|+|PIVN|Industrial Goods|Other OTC|United States
